profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
Celene,1,0,Stellar !!,[5.0],"Stayed Sunday night 20/09/20.The whole experience was magical.Even with Covid changes followed to the max !Beautiful decor,throughout.Fabulous cocktails in the Rivoli bar & the FOOD was delicious.We treated ourselves to the beef Wellington-sublime !The staff are friendly, helpful & discrete.Coming through reception we chanced upon Executive chef Mr. John Williams MBE & head concierge Mr. Michael de Cozar discussing a work issue.I confess to having been overcome at seeing both of these well know people --they stopped discussing what they had to sort out re work and  we had a quick chat about the hotel ,kitchen .Such a lovely gesture ,as all guest's are made to feel that nothing is too much trouble or an inconvenience .Afternoon tea was a delight.Do dress up, wear a tie .The Palm court is there to make you feel special! THANK YOU everyone for a lovely stay ---We will be back !!", September 2020,nan
Judes111,251,104,Well done Chef!,[5.0],"Amazing dinner here, attentive waiters and excellent food. Breakfast also very good. Bedrooms all to Anti Covid standards and very comfortable and all the staff were attentive but unobtrusive. The Italian Garden is well worth a visit for drinks or even afternoon tea.", September 2020, Travelled with family
Louise,4,3,Great but not fantastic,[4.0],"Stayed for a week I wish there won’t be as much dissatisfaction as it was but overall was great as usual. Social distancing in place  Thanks to the team for looking after me, all the best Stay safe x L", August 2020, Travelled on business
Ruby travels,7,4,Afternoon tea treat,[5.0],"To celebrate my friends birthday we went to the Ritz for afternoon tea. We had never been before but had always wanted to so were very much looking forward to it. We were not disappointed!! It was an amazing from the moment we entered until leaving. The hotel is beautiful and the decor is superb. The Palm Court were we were served afternoon tea was stunning. All the staff were very welcoming and nothing was to much trouble. The table was beautifully laid and afternoon tea was superb. The sandwiches were made with a variety of breads and fillings, and the waiter does ask if you would like more sandwiches, but we were happy with what we had already been served. The cakes just melted in your mouth, and you just need to let the waiter know when you are ready for the scones as they are served to you warm, with strawberry conserve and clotted cream. They have many different varieties of tea that you can try. I had the Ritz royal blend which was very nice. There was a pianist playing which was lovely and the whole atmosphere made for a great, relaxed afternoon. As it was my friends birthday I ordered a birthday cake for her when making the booking. It was presented to her at the table and was a lovely end to the tea. We really did enjoy our afternoon and will certainly be booking again and maybe try lunch next time. Would definitely recommend to anyone who is thinking of booking this.", August 2020, Travelled with friends
Rachel H,46,39,Everything we hoped for ,[5.0],"We stayed at The Ritz for one night in a Queen room (their standard one) and had afternoon tea and cocktails in the bar in the evening. The welcome when we arrived was wonderful- warm, friendly and professional with some nice touches. The room was gorgeous, champagne in the room and lots of complimentary extras- biscuits, chocolate nibbles, with a gift bag in case you want to take them home. Afternoon tea was gorgeous and the service very slick, piano accompaniment was excellent. Rivoli bar was good and an interesting choice of cocktails. The bed was so very comfy and lovely Asprey toiletries. Breakfast the following morning I’m the main restaurant was excellent and the service too. Overall - great experience, worth the price to see how we might live if we won the lottery (!) and the staff were exceptional and seemed to really enjoy their jobs.", September 2020, Travelled as a couple
Paul M,84,30,Sunday lunch,[5.0],Sunday lunch at the Ritz - three course with a glass of champagne. It is definitely something everyone needs to do at least once in their life. Pure bliss. Service as you would expect. Food to die for. Yum!, August 2020, Travelled as a couple
Kevin D,6,3,An  incredible experience,[5.0],"We celebrated a special birthday  by having lunch at the ritz The special ambience of the hotel , the first class  food and drink were only surpassed  by the  professionalism of the hotel team . Our expectations were not only met but exceeded . Our ritz experience  certainly helped  offset  the  uncertain times we currently face so MANY thanks", September 2020,nan
Jay Walker,5,3,Afternoon tea at the Ritz perfection,[5.0],"This experience was simple perfection. The staff are so friendly and professional: they truly exude a warmth and attentiveness second to none. The food is beautifully presented and tastes absolutely divine. Sitting in the warm pink glow, surrounded by ornate gold, stunning silverware and sumptuous  beauty, eating small pieces of heaven, whilst a piano music filled the air, I honestly felt as if I had stepped into a fairy tale and the real world was suspended for a couple of hours.", September 2020,nan
Paul C,12,10,London’s historic and iconic hotel,[4.0],"My wife and I just stayed at the Ritz London and while it is an amazing hotel it was not perfect. These are tough times for the hotel industry having been closed for months due to the Covid 19 pandemic. The Ritz can’t provide the service that would usually be associated with the Grande Dame, room servicing is not happening as staff can no longer enter rooms so no bed making, turndown service or chocolates on the pillow. So shouldn’t they ensure they excel at what they can do?  We had booked to have lunch at the Secret Garden however we were informed by email that the garden had closed and was now the Italian Garden. Absolutely perfect and no problem, however at check in we were told the Italian Garden was closed due to wind and we were now moved to the Rivoli bar. There honestly was hardly a breath of wind and we did not believe the explanation and guess they weren’t busy enough to open. The Saturday Night Live which we had booked we found out now has no dancers and the dance floor has been removed. We only found out when looking at the website for a dress code but the hotel never informed us. The room was lovely and this may sound picky, but bearing in mind the hotel has been closed for months, the toilet seat was not square and a screw cover was missing from the shaving mirror. We are booked for a return visit on 23 December and are once again booked for Live at the Ritz. Let’s hope it is perfect this time around. Regarding room services, maybe hotels could ask guests whether they would like the room serviced and have them sign a Covid waiver if they do. This is a time to think differently.", September 2020, Travelled with family
WARBZ-X,84,61,Champagne Afternoon Tea,[5.0],"My other half surprised me with a Champagne evening afternoon tea and It was such a lovely experience. I had the gluten free afternoon tea which was the best gluten free I have ever sampled and I’ve had quite a few (I’m a big foodie!). Firstly, the sandwich choices were lovely (something for everyone) and the 3 little cakes were nice but my fave had to be the scones which were so fresh and tasty - I couldn’t believe they were gluten free as they tasted better than normal ones! My other half had the normal afternoon tea and he also thoroughly enjoyed his. After we had our scones the waiter asked if we would like another slice of cake from the stand but we declined as we were so full - that’s very unusual for us as we are big eaters but there was so much food we couldn’t manage anymore but they looked lovely!Champagne was a nice touch also and not dry like most champagnes... very moreish !Finally.... The waiters ... they were very attentive and there were plenty of them on hand to assist.Overall we had a fab experience and would highly recommend.", September 2020, Travelled as a couple
